phase_id,phase_title,task_id,task_title,primary_owner,supporting_agents,execution_mode,parallel_group,risk,depends_on,allowed_paths,objective,validation,acceptance,acceptance_tier,acceptance_agents,acceptance_outcome,evidence,stop_if
HW-00,新仓创建与 Clean Foundation,HW00-01,创建公共仓库、公共数据边界与初始治理,parent_codex,luna_docs | terra_reviewer,workspace-write,A,high,,README.md | AGENTS.md | .codex/** | docs/** | .github/** | .gitignore | .gitattributes,初始化新仓，使任何 Agent 在写代码前都能识别产品目标、绿地规则、禁止迁移项和 Gate 流程。,Codex 指令发现 | TOML/Markdown/YAML/JSON 结构校验 | AGENTS 合并字节预算检查 | 公共 Ruleset 与 required checks 核对,仓库为空白绿地状态，无旧业务代码 | 根指令小于默认 32 KiB，并明确新架构唯一 Program | Luna/Terra/Sol 配置可被 Codex识别,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,仓库设置截图/收据 | instruction-discovery.log | initial-tree.txt,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-00,新仓创建与 Clean Foundation,HW00-02,固定 Node、pnpm、TypeScript 与 Workspace 合同,terra_worker,luna_inventory | terra_tester,workspace-write,B,medium,HW00-01,package.json | pnpm-workspace.yaml | pnpm-lock.yaml | .npmrc | .nvmrc | tsconfig*.json | scripts/governance/**,建立唯一包管理器和最小根命令，避免把旧仓 Phase 01/02 根脚本迁入新仓。,pnpm install --frozen-lockfile | workspace inventory | second-lock negative test | missing-script negative test,唯一 lockfile | 从干净 clone 可 frozen install | 根命令不含 legacy phase 命名和 npm fallback,terra,terra_reviewer,APPROVED,toolchain-report.json | workspace-inventory.json | negative-tests.log,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-00,新仓创建与 Clean Foundation,HW00-03,冻结目标目录与依赖 DAG,terra_contracts,luna_explorer | terra_reviewer,workspace-write,B,medium,HW00-01,docs/architecture/** | docs/governance/** | scripts/governance/** | packages/**/package.json | apps/**/package.json | services/**/package.json,把 apps、platform services、domain services、pure contracts、infrastructure 和 database 的依赖方向固化为机器门禁。,dependency DAG positive/negative fixtures | workspace protocol scan | deep-import negative test,依赖图无环 | 每条禁止边可被自动检测 | 目录不是预创建的大而空框架；只有当前阶段真实需要的 workspace,terra,terra_reviewer,APPROVED,dependency-graph.json | boundary-check.log,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-00,新仓创建与 Clean Foundation,HW00-04,建立 Legacy Source Manifest,terra_migrator,luna_inventory | terra_reviewer,workspace-write,C,high,HW00-01,docs/migration/** | scripts/migration/**,建立可选本地旧代码源的只读迁移边界，任何迁移文件必须记录来源、测试和改造状态。,manifest schema test | unknown source negative test | source commit/hash verification,所有实际采用的旧资产可追溯；无旧源时有明确 no-source 记录 | 新仓不依赖旧仓运行时或 Git 子模块 | 本地 W0 治理提交不是新仓构建依赖,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,LEGACY-SOURCE-MANIFEST.yaml | migration-policy-test.log,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-00,新仓创建与 Clean Foundation,HW00-05,冻结 Knowe 借鉴与排除矩阵,luna_docs,luna_explorer | terra_reviewer,workspace-write,C,low,HW00-01,docs/migration/KNOWE-ADOPTION-MATRIX.md | docs/architecture/**,只借鉴 Knowe 的群聊协作、Coordinator/Worker、Harness、Handoff、用户裁决、知识生命周期和事件回放思想，不复制其不适合医院生产的运行边界。,文档链接与 commit 校验 | adoption/exclusion pair completeness,每项借鉴都有 Hospital Workspace 落点 | 每项高风险机制都有明确排除或安全替代,terra,terra_reviewer,APPROVED,KNOWE-ADOPTION-MATRIX.md | source-reference-report.md,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-00,新仓创建与 Clean Foundation,HW00-06,创建基础 CI 与证据框架,terra_tester,luna_fixtures | terra_reviewer,workspace-write,D,medium,HW00-02 | HW00-03,.github/workflows/** | scripts/governance/** | docs/program/templates/** | evidence/**,让新仓从第一个提交开始具备可阻断的构建、契约、边界、证据和密钥检查。,CI dry run/static validation | evidence schema positive/negative tests | secret fixture negative test,required checks 可在空骨架中稳定通过 | 未执行平台测试不会被标为 PASS | 证据不允许真实患者数据或秘密,terra,terra_reviewer,APPROVED,CI run | evidence-schema-report.json | secret-scan-report.json,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-00,新仓创建与 Clean Foundation,HW00-07,接受 Foundation ADR 与 F0 Gate,parent_codex,terra_reviewer | terra_security,read-only,E,critical,HW00-02 | HW00-03 | HW00-04 | HW00-05 | HW00-06,AGENTS.md | .codex/** | docs/** | .github/** | package.json | pnpm-workspace.yaml | pnpm-lock.yaml | scripts/governance/**,独立确认新仓是干净目标架构，而不是旧仓的第二份复制。,全仓 governance | git diff --check | dependency graph | manifest audit,P0/P1 为零 | F0 仅代表允许开始迁移基础资产，不代表试点或生产,sol-phase-gate,terra_reviewer | terra_security | sol_phase_gate,PASS_RECOMMENDED,F0-gate-decision.md | independent-review.md,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-01,共享契约内核与干净数据库基线,HW01-01,建立 Contracts Core,terra_contracts,luna_fixtures | terra_reviewer,workspace-write,A,medium,,packages/contracts-core/**,定义所有跨边界协议共用的 ID、Actor、ContextRef、ScopeRef、Sensitivity、Trace 和版本字段。,contract unit tests | unknown-field tests | serialization snapshots,不依赖 React/Fastify/Prisma/Node request | 可表达人员、组织、患者、资产和项目上下文但不承载业务数据,terra,terra_reviewer,APPROVED,contract-snapshot.json | negative-fixtures.log,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-01,共享契约内核与干净数据库基线,HW01-02,建立 Event Envelope 与 Command Envelope,terra_contracts,luna_fixtures | terra_reviewer,workspace-write,A,high,HW01-01,packages/event-contracts/** | packages/command-contracts/**,冻结 at-least-once 事件与幂等命令协议，为 Outbox、Hub、Work Item 和 Agent 提供共同语义。,schema tests | idempotency fixtures | unknown-version quarantine tests,不承诺 exactly-once | 同一事件可安全重复消费 | 命令冲突显式返回 409/typed conflict,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,event-command-contract-report.md,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
HW-01,共享契约内核与干净数据库基线,HW01-03,迁移并净化 time/postgres/redis 基础能力,terra_migrator,luna_inventory | terra_tester,workspace-write,B,medium,,packages/time-core/** | packages/postgres-core/** | packages/redis-core/** | docs/migration/**,从 legacy 固定 commit 白名单复制三个小包，移除生成物和旧项目假设。,legacy source hash | package build/test | connection config negative tests,三个包职责单一 | 无对旧 repo 路径或 `@portal/*` 的依赖 | 无真实连接串和默认弱 TLS,terra,terra_reviewer,APPROVED,migration-receipts/*.json | package-test.log,需要修改未在 allowed_paths 中声明的路径 | 需要改变已接受 ADR、身份/Session、授权/Scope、TLS、原生权限或数据所有权边界 | 需要新增生产依赖、破坏性数据库操作或对外部系统写入，但任务未明确授权 | 当前工作树包含无法归属的用户修改；若本任务主动采用可选旧源，则该旧源无法绑定固定 commit
