phase_id,task_id,task_title,status,primary_owner,supporting_agents,parallel_group,risk,acceptance_tier,acceptance_agents,required_acceptance_outcome,implementation_status,terra_review,sol_acceptance_status,branch,commit_or_pr,gate_result,evidence_path,blocked_by,notes
HW-00,HW00-01,创建公共仓库、公共数据边界与初始治理,NOT_STARTED,parent_codex,luna_docs | terra_reviewer,A,high,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-00/,,
HW-00,HW00-02,固定 Node、pnpm、TypeScript 与 Workspace 合同,NOT_STARTED,terra_worker,luna_inventory | terra_tester,B,medium,terra,terra_reviewer,APPROVED,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-00/,HW00-01,
HW-00,HW00-03,冻结目标目录与依赖 DAG,NOT_STARTED,terra_contracts,luna_explorer | terra_reviewer,B,medium,terra,terra_reviewer,APPROVED,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-00/,HW00-01,
HW-00,HW00-04,建立 Legacy Source Manifest,NOT_STARTED,terra_migrator,luna_inventory | terra_reviewer,C,high,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-00/,HW00-01,
HW-00,HW00-05,冻结 Knowe 借鉴与排除矩阵,NOT_STARTED,luna_docs,luna_explorer | terra_reviewer,C,low,terra,terra_reviewer,APPROVED,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-00/,HW00-01,
HW-00,HW00-06,创建基础 CI 与证据框架,NOT_STARTED,terra_tester,luna_fixtures | terra_reviewer,D,medium,terra,terra_reviewer,APPROVED,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-00/,HW00-02 | HW00-03,
HW-00,HW00-07,接受 Foundation ADR 与 F0 Gate,NOT_STARTED,parent_codex,terra_reviewer | terra_security,E,critical,sol-phase-gate,terra_reviewer | terra_security | sol_phase_gate,PASS_RECOMMENDED,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-00/,HW00-02 | HW00-03 | HW00-04 | HW00-05 | HW00-06,
HW-01,HW01-01,建立 Contracts Core,NOT_STARTED,terra_contracts,luna_fixtures | terra_reviewer,A,medium,terra,terra_reviewer,APPROVED,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-01/,,
HW-01,HW01-02,建立 Event Envelope 与 Command Envelope,NOT_STARTED,terra_contracts,luna_fixtures | terra_reviewer,A,high,sol-acceptance,terra_reviewer | sol_acceptance,ACCEPT,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-01/,HW01-01,
HW-01,HW01-03,迁移并净化 time/postgres/redis 基础能力,NOT_STARTED,terra_migrator,luna_inventory | terra_tester,B,medium,terra,terra_reviewer,APPROVED,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-01/,,
HW-01,HW01-04,建立 Observability 与 Audit Kernel,NOT_STARTED,terra_worker,luna_fixtures | terra_reviewer,B,medium,terra,terra_reviewer,APPROVED,NOT_STARTED,NOT_STARTED,NOT_STARTED,,,,docs/evidence/HW-01/,HW01-01,
